ano link
2003 http://www.planalto.gov.br/ccivil_03/decreto/2003/d4647.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6603.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7503.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8717.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9946.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5565.htm
2014 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8314.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7566.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6035.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3682.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5953.htm
2003 http://www.planalto.gov.br/ccivil_03/decreto/2003/d4716.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7634.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6927.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5644.htm
